Product ID,Product Name,Category,Price,Min Age,Max Age,Description,Keywords,Rating,Stock Quantity,Image URL
1,Super Soaker Water Gun,Outdoor Toys,15.99,6,30,"High-powered water gun, perfect for pool parties.","Water toys, summer, outdoor, fun",,50,
2,LEGO Classic Brick Set,Building Toys,29.99,5,30,900 pieces for creative building and construction.,"Building, creativity, blocks, STEM",,40,
3,Remote Control Car,Electronic Toys,24.99,6,50,Fast RC car with rechargeable battery.,"Remote control, car, racing, tech",,30,
4,Plush Teddy Bear,Plush Toys,12.99,2,6,"Soft and cuddly teddy bear, 12 inches tall.","Plush, soft, cuddle, teddy bear",,60,
5,Puzzle Mat for Kids,Educational Toys,19.99,2,5,Foam puzzle mat with alphabet and numbers.,"Puzzle, educational, alphabet, learning",,25,
6,Hot Wheels Race Track,Cars & Vehicles,22.99,5,12,Race track set with two Hot Wheels cars.,"Race track, Hot Wheels, cars, racing",,35,
7,Barbie Fashion Doll,Dolls,17.99,5,10,Barbie doll with trendy outfits and accessories.,"Barbie, fashion, doll, outfits",,45,
8,Nerf Blaster Gun,Outdoor Toys,27.99,8,14,Nerf blaster with foam darts and target board.,"Nerf, blaster, foam darts, action",,20,
9,Monopoly Junior Board Game,Board Games,14.99,5,18,Fun Monopoly version designed for young players.,"Monopoly, board game, strategy, family fun",,15,
10,Jenga Classic,Board Games,12.99,6,100,"Wooden stacking game, a family favorite.","Jenga, stacking, balance, board game",,50,
11,Baby Rattle Set,Baby Toys,9.99,1,2,Colorful rattles to engage babies' attention.,"Rattle, baby, sound, sensory",,40,
12,Crayola Coloring Set,Art Supplies,13.99,3,10,"100-piece coloring set with crayons, markers, and paper.","Coloring, crayons, art, creativity",,60,
13,Toy Drum Set,Musical Toys,19.99,3,8,"Beginner drum set for kids, includes drumsticks.","Music, drums, rhythm, beginner",,20,
14,Magic Tricks Set,Educational Toys,18.99,6,100,Learn easy magic tricks with step-by-step guide.,"Magic, tricks, educational, fun",,25,
15,Disney Princess Doll Set,Dolls,29.99,3,8,Set of 3 princess dolls with gowns and accessories.,"Princess, Disney, dolls, dress-up",,35,
16,Play-Doh Fun Factory,Art Supplies,11.99,3,7,Play-Doh set with molds and tools for creative play.,"Play-Doh, creativity, molds, art",,50,
17,Soccer Ball (Size 3),Sports Toys,14.99,5,100,Durable size 3 soccer ball for kids.,"Soccer, ball, sports, outdoor",,40,
18,Transformer Action Figure,Action Figures,24.99,6,12,Poseable Transformer figure with light-up features.,"Transformers, action figure, light-up, poseable",,30,
19,Rubik's Cube,Puzzle Toys,9.99,7,100,Classic 3x3 Rubik's Cube puzzle.,"Puzzle, Rubik's, brain teaser, logic",,60,
20,Walkie Talkie Set,Electronic Toys,22.99,5,80,Two-way walkie talkie set with 2-mile range.,"Walkie talkie, communication, adventure",,25,
